id,brand_id,model,tip
1,پژو ,۴۰۵GLX ,
2,پژو ,پارس معمولی ,
3,پژو ,۲۰۶  , (تیپ۲) 
4,پژو ,روا  , (آردی) 
5,پژو ,۲۰۶ SD  , (صندوق دار)
6,پژو ,۲۰۷i ,
7,پژو ,پارس LX ,
8,پژو ,۲۰۶  , (تیپ۵) 
9,پژو ,۴۰۵SLX ,
10,پژو ,پارس ELX ,
11,پژو ,۲۰۶  , (تیپ۳)
12,پژو ,۲۰۶  , (تیپ۶) 
13,پژو ,۲۰۶  , (سایر) 
14,پژو ,۲۰۰۸ ,
15,پژو ,۲۰۷ , صندوقدار 
16,پژو ,۴۰۷ ,
17,پراید ,صبا  , (صندوقدار)
18,پراید ,۱۳۱ ,
19,پراید ,۱۱۱ ,
20,پراید ,۱۳۲ ,
21,پراید ,۱۴۱ ,
22,پراید ,وانت  ,
23,پراید ,نسیم  , (هاچ بک)
24,سمند ,LX ,
25,سمند ,LX EF۷ ,
26,سمند ,معمولی ,
27,سمند ,سورن ,
28,سمند ,SE ,
29,سمند ,سورن توربو ,
30,پیکان ,پیکان  , (وانت) 
31,پیکان ,پیکان  , (سواری) 
32,نیسان ,وانت  زامیاد ,
33,نیسان ,پاترول , دو در 
34,نیسان ,پیکاپ ,
35,نیسان ,پاترول , چهار در 
36,نیسان ,ماکسیما ,
37,نیسان ,رونیز ,
38,نیسان ,جوک ,
39,نیسان ,مورانو ,
40,نیسان ,تیانا ,
41,نیسان ,سرانزا ,
42,نیسان ,قشقایی ,
43,نیسان ,سایر ,
44,نیسان ,ایکس تریل ,
45,نیسان ,سافاری ,
46,نیسان ,پت فایندر ,
47,تیبا ,تیبا ۲  ,(هاچ بک) 
48,تیبا ,تیبا ۱  ,(صندوق دار)
49,رنو ,تندر  ۹۰ ,
50,رنو ,رنو پیکی ,
51,رنو ,پارس تندر ,
52,رنو ,مگان ۲۰۰۰ ,
53,رنو ,ساندرو استپ وی ,
54,رنو ,ساندرو ,
55,رنو ,مگان ۱۶۰۰ ,
56,رنو ,تندر ۹۰ پلاس ,
57,رنو ,داستر ,
58,رنو ,تلیسمان ,
59,رنو ,رنو ۵  ,(سپند)
60,رنو ,کپچر ,
61,رنو ,فلوئنس ,
62,رنو ,کولیوس ,
63,رنو ,سیمبل ,
64,رنو ,تندر وانت ,
65,رنو ,سفران ,
66,رنو ,اسکالا ,
67,آئودی ,TT ,
68,آلفا رومئو ,جولیتا ,
69,آلفا رومئو ,۴C ,
70,اپل ,کورسا ,
71,اپل ,آسترا ,
72,اپل ,وکترا ,
73,اپل ,امگا ,
74,اپل ,سایر ,
75,ام جی ,۶ ,
76,ام جی ,۵۵۰ ,
77,ام جی ,۳۶۰ ,
78,ام جی ,۳۵۰ ,
79,ام جی ,GS ,
80,ام جی ,۳ ,
81,ام جی ,GT ,
82,ام وی ام ,۵۳۰ ,
83,ام وی ام ,۱۱۰,سه سیلندر 
84,ام وی ام ,X۳۳ S  ,(اسپرت)
85,ام وی ام ,۳۱۵, هاچ بک (اسپرت لاکچری)
86,ام وی ام ,X۳۳ ,
87,ام وی ام ,۱۱۰ , چهار سیلندر 
88,ام وی ام ,X۲۲  ,(اسپرت اکسلنت)
89,ام وی ام ,۳۱۵ ,هاچ بک (اسپرت اکسلنت) 
90,ام وی ام ,X۳۳ S  ,(نیو)
91,ام وی ام ,۵۵۰ ,
92,ام وی ام ,X۳۳ S  ,(ساده) 
93,ام وی ام ,۳۱۵ ,هاچ بک (معمولی) 
94,ام وی ام ,X۲۲  ,(پرو)
95,ام وی ام ,X۲۲  ,(لاکچری)
96,ام وی ام ,۳۱۵   ,هاچ بک 
97,ام وی ام ,X۵۵  ,(اسپرت اکسلنت)
98,ام وی ام ,۳۱۵   ,صندوقدار (اسپرت)
99,ام وی ام ,۳۱۵   ,صندوقدار (ساده)
100,ام وی ام ,X۲۲  ,(اسپرت)
101,ام وی ام ,X۲۲ ,
102,ام وی ام ,۱۱۰S  ,(کامفورت)
103,ام وی ام ,۳۱۵  ,صندوقدار 
104,ام وی ام ,X۲۲  ,(ساده)
105,ام وی ام ,۱۱۰S  ,(اسپرت لاکچری)
106,ام وی ام ,X۳۳S ,
107,ام وی ام ,۱۱۰S  ,(لاکچری)
108,ام وی ام ,X۵۵  ,(اکسلنت)
109,ام وی ام ,۱۱۰S ,
110,ام وی ام ,۳۱۵ ,هاچ بک (پلاس)
111,ام وی ام ,X۵۵ ,
112,بایک ,سابرینا ,
113,بایک ,x۲۵ ,
114,بایک ,سنوا ,
115,برلیانس ,H۳۳۰ ,
116,برلیانس ,H۲۳۰ ,
